domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
crosscut.com,-1,0,0,0,0,0
crowdpac.com,0,0,0,0,0,0
csglobe.com,3,1,0,1,0,0
csicop.org,0,0,0,0,0,0
csis.org,0,0,0,0,0,0
csmonitor.com,0,0,0,0,0,0
ctj.org,-1,0,0,0,0,0
ctmirror.org,-1,0,0,0,0,0
ctpost.com,-1,0,0,0,0,0
ctvnews.ca,0,0,0,0,0,0
cuindependent.com,0,0,0,0,0,0
cumberlink.com,0,0,0,0,0,0
curiosity.com,0,0,0,0,0,0
curiousmindmagazine.com,3,1,0,1,0,0
currentaffairs.org,-2,0,0,0,0,0
curvemag.com,-2,0,0,0,0,0
daily-chronicle.com,0,0,0,0,0,0
daily-journal.com,0,0,0,0,0,0
daily.jstor.org,0,0,0,0,0,0
daily49er.com,-2,0,0,0,0,0
dailybulletin.com,0,0,0,0,0,0
dailybuzzlive.com,NaN,1,0,0,0,0
dailycaller.com,2,0,0,0,0,0
dailycardinal.com,0,0,0,0,0,0
dailyclimate.org,-1,0,0,0,0,0
dailydiscord.com,NaN,0,0,0,0,1
dailydot.com,-2,0,0,0,0,0
dailygazette.com,0,0,0,0,0,0
dailygrail.com,NaN,1,0,1,0,0
dailyheadlines.net,3,1,0,0,0,0
dailyhealthpost.com,NaN,1,0,1,0,0
dailyherald.com,1,0,0,0,0,0
dailyhive.com,-1,0,0,0,0,0
dailyjournalonline.com,0,0,0,0,0,0
dailykos.com,-2,0,0,0,0,0
dailymail.co.uk,2,1,0,0,0,0
dailymaverick.co.za,0,0,0,0,0,0
dailynews.com,0,0,0,0,0,0
dailynewsbin.com,-2,0,0,0,0,0
dailynorthwestern.com,0,0,0,0,0,0
dailyo.in,1,0,0,0,0,0
dailyoccupation.com,NaN,1,0,1,0,0
dailypoliticalnewswire.com,3,1,0,0,0,0
dailypress.com,1,0,0,0,0,0
dailyprogress.com,0,0,0,0,0,0
dailyrecord.co.uk,-2,0,0,0,0,0
dailyrecord.com,0,0,0,0,0,0
dailysignal.com,2,0,0,0,0,0
dailysnark.com,NaN,0,0,0,0,1
dailysoundandfury.com,-2,0,0,0,0,0
dailysquib.co.uk,NaN,0,0,0,0,1
dailystar.co.uk,3,1,0,0,0,0
dailystormer.name,3,1,0,0,1,0
dailysurge.com,2,0,0,0,0,0
dailytargum.com,-1,0,0,0,0,0
dailytarheel.com,-1,0,0,0,0,0
dailytelegraph.com.au,2,0,0,0,0,0
dailytorch.com,2,0,0,0,0,0
dailywire.com,2,0,0,0,0,0
dailyworldupdate.us,NaN,0,0,0,0,1
dallasnews.com,0,0,0,0,0,0
dallasvoice.com,-2,0,0,0,0,0
daltondailycitizen.com,1,0,0,0,0,0
dandygoat.com,NaN,0,0,0,0,1
